word sentid sentpos wlen surp entropy entred
the 1 9 3 3.329188346862793 9.133252143859863 0
city 1 10 4 7.888319969177246 11.617390632629395 0
of 1 11 2 2.9227144718170166 8.312027931213379 3.3053627014160156
Bradford 1 12 8 12.758543968200684 9.046310424804688 0
, 1 13 1 2.917642593383789 8.42082691192627 0.625483512878418
where 1 14 5 7.094448089599609 9.445080757141113 0
once 1 15 4 12.050525665283203 9.550605773925781 0
a 1 16 1 4.7877326011657715 9.918492317199707 0
thousand 1 17 8 12.359644889831543 11.65163516998291 0
spinning 1 18 8 16.575206756591797 11.033525466918945 0.6181097030639648
<unk> 1 19 5 6.124973773956299 8.098453521728516 2.9350719451904297
that 1 20 4 6.846546173095703 7.997307300567627 0.10114622116088867
<unk> 1 21 5 6.419936180114746 8.83457088470459 0
and 1 22 3 4.499014377593994 9.133648872375488 0
<unk> 1 23 5 4.878777503967285 10.770452499389648 0
spun 1 24 4 16.9136905670166 8.717988014221191 2.052464485168457
wool 1 25 4 19.01150894165039 10.099104881286621 0
into 1 26 4 8.704994201660156 7.98272180557251 2.1163830757141113
money 1 27 5 12.30263900756836 8.810619354248047 0
for 1 28 3 6.026378631591797 7.804506778717041 1.0061125755310059
the 1 29 3 1.8135490417480469 8.520644187927246 0
long 1 30 4 10.716317176818848 11.628517150878906 0
bearded 1 31 7 18.021120071411133 8.667205810546875 2.9613113403320312
mill 1 32 4 15.731894493103027 8.74520492553711 0
owners 1 33 6 16.619211196899414 6.679647922515869 2.0655570030212402
. 1 34 1 2.0576798915863037 6.593805313110352 0.08584260940551758
That 2 0 4 11.289783477783203 11.105671882629395 0
all 2 1 3 9.68975830078125 10.626348495483398 0.4793233871459961
mill 2 2 4 16.27926254272461 10.061844825744629 0.5645036697387695
owners 2 3 6 15.651524543762207 9.127727508544922 0.934117317199707
were 2 4 4 7.153624057769775 8.524645805358887 0.6030817031860352
generally 2 5 9 9.415950775146484 10.489019393920898 0
busy 2 6 4 15.045324325561523 10.057062149047852 0.4319572448730469
as 2 7 2 5.45855188369751 7.61541223526001 2.441649913787842
<unk> 2 8 5 4.97407341003418 8.417546272277832 0
and 2 9 3 3.9327187538146973 7.431565761566162 0.9859805107116699
quite 2 10 5 13.495307922363281 11.02404499053955 0
pleased 2 11 7 16.86041831970215 10.07989501953125 0.9441499710083008
with 2 12 4 5.737243175506592 8.387664794921875 1.692230224609375
themselves 2 13 10 12.44440746307373 8.921828269958496 0
for 2 14 3 6.1242876052856445 7.952703475952148 0.9691247940063477
being 2 15 5 9.357203483581543 8.9039888381958 0
so 2 16 2 8.931159019470215 10.49182415008545 0
successful 2 17 10 12.974259376525879 8.354299545288086 2.1375246047973633
and 2 18 3 4.366975784301758 7.432089805603027 0.9222097396850586
well 2 19 4 10.875029563903809 11.149858474731445 0
off 2 20 3 9.884310722351074 10.23021411895752 0.9196443557739258
was 2 21 3 7.269632339477539 9.84091854095459 0.3892955780029297
known 2 22 5 7.587976932525635 10.183631896972656 0
to 2 23 2 2.012115001678467 3.6399497985839844 6.543682098388672
the 2 24 3 2.573932647705078 9.554754257202148 0
residents 2 25 9 12.803553581237793 11.802389144897461 0
of 2 26 2 3.1097919940948486 6.228890419006348 5.573498725891113
Bradford 2 27 8 12.725972175598145 9.116971969604492 0
, 2 28 1 2.8408753871917725 7.423710346221924 1.6932616233825684
and 2 29 3 2.44429874420166 8.88884162902832 0
if 2 30 2 11.283040046691895 10.564862251281738 0
you 2 31 3 10.31783390045166 10.29615306854248 0.2687091827392578
were 2 32 4 8.202265739440918 10.037171363830566 0.25898170471191406
to 2 33 2 5.871802806854248 10.252604484558105 0
go 2 34 2 8.82281494140625 9.938941955566406 0.3136625289916992
into 2 35 4 8.564536094665527 9.624899864196777 0.3140420913696289
the 2 36 3 1.9246962070465088 8.838495254516602 0.7864046096801758
city 2 37 4 8.050117492675781 11.658819198608398 0
to 2 38 2 4.904158592224121 5.639456748962402 6.019362449645996
visit 2 39 5 10.231735229492188 9.456855773925781 0
the 2 40 3 2.8585963249206543 8.376254081726074 1.080601692199707
<unk> 2 41 5 4.992008209228516 11.683028221130371 0
City 2 42 4 11.580076217651367 6.858773231506348 4.824254989624023
Hall 2 43 4 13.161444664001465 5.750066757202148 1.1087064743041992
, 2 44 1 3.5000107288360596 5.578220367431641 0.1718463897705078
you 2 45 3 9.832504272460938 8.722817420959473 0
would 2 46 5 10.035003662109375 9.864447593688965 0
see 2 47 3 9.298877716064453 8.333343505859375 1.5311040878295898
there 2 48 5 10.30961799621582 10.156722068786621 0
the 2 49 3 6.012710094451904 9.7604398727417 0.3962821960449219
<unk> 2 50 5 5.003188610076904 11.8377685546875 0
of 2 51 2 2.9734039306640625 7.702691078186035 4.135077476501465
the 2 52 3 1.908453106880188 8.83346939086914 0
City 2 53 4 11.006587982177734 11.64547348022461 0
of 2 54 2 2.769517183303833 7.069052219390869 4.57642126083374
Bradford 2 55 8 12.80244255065918 8.852950096130371 0
, 2 56 1 2.9888362884521484 7.440571308135986 1.4123787879943848
which 2 57 5 5.759215831756592 8.880237579345703 0
those 2 58 5 13.014110565185547 9.594502449035645 0
same 2 59 4 12.127222061157227 10.347009658813477 0
mill 2 60 4 16.81977653503418 8.468530654907227 1.87847900390625
owners 2 61 6 16.46750831604004 7.178829669952393 1.289700984954834
created 2 62 7 13.003539085388184 6.976446151733398 0.20238351821899414
to 2 63 2 4.658335208892822 9.70007038116455 0
celebrate 2 64 9 11.165419578552246 9.827019691467285 0
their 2 65 5 7.948882579803467 9.816871643066406 0.010148048400878906
achievements 2 66 12 13.340020179748535 12.164883613586426 0
. 2 67 1 3.8743655681610107 10.554837226867676 1.61004638671875
It 3 0 2 7.874598503112793 11.105671882629395 0
shows 3 1 5 11.959805488586426 7.172704219818115 3.9329676628112793
a 3 2 1 5.09178352355957 9.748408317565918 0
sinister 3 3 8 19.218557357788086 11.613973617553711 0
looking 3 4 7 14.437603950500488 10.211373329162598 1.4026002883911133
<unk> 3 5 5 6.0108323097229 9.80251407623291 0.4088592529296875
's 3 6 2 5.738319396972656 8.7661771774292 1.036336898803711
head 3 7 4 9.604222297668457 12.162392616271973 0
sitting 3 8 7 15.948142051696777 8.666333198547363 3.4960594177246094
on 3 9 2 6.466071605682373 8.30907917022705 0.3572540283203125
top 3 10 3 11.48165512084961 8.929115295410156 0
of 3 11 2 4.673065662384033 9.53123664855957 0
a 3 12 1 4.043717861175537 8.798672676086426 0.7325639724731445
well 3 13 4 9.817201614379883 11.69719123840332 0
which 3 14 5 7.544445514678955 8.505936622619629 3.1912546157836914
seems 3 15 5 12.314703941345215 9.817525863647461 0
<unk> 3 16 5 6.070723533630371 9.824594497680664 0
at 3 17 2 7.052764892578125 8.016706466674805 1.8078880310058594
first 3 18 5 10.593208312988281 8.770025253295898 0
, 3 19 1 3.647632360458374 9.816582679748535 0
but 3 20 3 5.369486331939697 9.110365867614746 0.7062168121337891
the 3 21 3 4.074299335479736 9.65407943725586 0
reason 3 22 6 11.791449546813965 11.912707328796387 0
for 3 23 3 6.033416748046875 9.058095932006836 2.854611396789551
this 3 24 4 7.296736240386963 9.271942138671875 0
symbol 3 25 6 15.129983901977539 12.45890998840332 0
is 3 26 2 7.585841655731201 7.584144592285156 4.874765396118164
a 3 27 1 3.8677165508270264 9.784226417541504 0
matter 3 28 6 11.381928443908691 11.794625282287598 0
of 3 29 2 3.0820016860961914 8.498170852661133 3.296454429626465
legend 3 30 6 16.683399200439453 8.973662376403809 0
. 3 31 1 2.540705919265747 7.5671305656433105 1.406531810760498
There 4 0 5 9.776485443115234 11.105671882629395 0
was 4 1 3 3.6385090351104736 8.945511817932129 2.1601600646972656
once 4 2 4 10.609621047973633 10.09046459197998 0
, 4 3 1 4.031492710113525 7.912480354309082 2.1779842376708984
legend 4 4 6 17.50172996520996 9.34478759765625 0
has 4 5 3 8.685422897338867 8.505349159240723 0.8394384384155273
it 4 6 2 9.60188102722168 9.362707138061523 0
, 4 7 1 5.195013999938965 8.834753036499023 0.5279541015625
a 4 8 1 5.355360507965088 9.34398365020752 0
<unk> 4 9 5 4.773128032684326 11.763505935668945 0
<unk> 4 10 5 5.617823123931885 9.824971199035645 1.9385347366333008
, 4 11 1 2.7230584621429443 8.27476978302002 1.550201416015625
which 4 12 5 5.771352767944336 9.106405258178711 0
lived 4 13 5 10.752800941467285 9.644572257995605 0
in 4 14 2 4.1800103187561035 8.62895393371582 1.0156183242797852
a 4 15 1 3.9122090339660645 9.05038070678711 0
wood 4 16 4 13.80916690826416 11.730741500854492 0
located 4 17 7 13.210808753967285 9.175431251525879 2.5553102493286133
just 4 18 4 12.248934745788574 8.268163681030273 0.9072675704956055
outside 4 19 7 12.313331604003906 9.397377967834473 0
the 4 20 3 3.489140033721924 9.65515422821045 0
manor 4 21 5 14.240805625915527 11.708471298217773 0
of 4 22 2 2.9441981315612793 7.796323776245117 3.9121475219726562
Bradford 4 23 8 12.82647705078125 8.828280448913574 0
. 4 24 1 3.10308575630188 8.076050758361816 0.7522296905517578
A 5 0 1 7.6292548179626465 11.105671882629395 0
source 5 1 6 13.938255310058594 11.978654861450195 0
of 5 2 2 3.109076976776123 9.062800407409668 2.9158544540405273
great 5 3 5 12.228230476379395 9.33984661102295 0
trouble 5 4 7 14.695536613464355 11.433656692504883 0
to 5 5 2 4.582327842712402 9.61623764038086 1.8174190521240234
the 5 6 3 2.616922616958618 9.591273307800293 0.024964332580566406
local 5 7 5 9.604559898376465 11.807048797607422 0
folk 5 8 4 13.350914001464844 11.56143856048584 0.24561023712158203
the 5 9 3 6.330758571624756 9.48792839050293 2.07351016998291
<unk> 5 10 5 5.470872402191162 11.343161582946777 0
was 5 11 3 5.821621894836426 8.244502067565918 3.0986595153808594
, 5 12 1 5.8773322105407715 10.167539596557617 0
bringing 5 13 8 13.174449920654297 8.566088676452637 1.6014509201049805
terror 5 14 6 17.970104217529297 10.431059837341309 0
to 5 15 2 4.747583389282227 8.385340690612793 2.0457191467285156
the 5 16 3 2.636136293411255 9.629942893981934 0
peaceful 5 17 8 16.167564392089844 11.794220924377441 0
flocks 5 18 6 17.617759704589844 9.655838966369629 2.1383819580078125
and 5 19 3 4.647697925567627 7.959530353546143 1.6963086128234863
<unk> 5 20 5 5.010846138000488 10.968742370605469 0
the 5 21 3 6.402112007141113 8.37183666229248 2.5969057083129883
countryside 5 22 11 13.407726287841797 11.752347946166992 0
around 5 23 6 10.374289512634277 8.254949569702148 3.4973983764648438
. 5 24 1 9.33014965057373 8.804866790771484 0
Even 6 0 4 12.886870384216309 11.105671882629395 0
worse 6 1 5 15.747511863708496 9.887207984924316 1.2184638977050781
, 6 2 1 3.8259010314941406 9.672857284545898 0.21435070037841797
however 6 3 7 8.545625686645508 9.477936744689941 0.19492053985595703
, 6 4 1 2.457392692565918 8.39987850189209 1.0780582427978516
the 6 5 3 3.4634580612182617 9.450032234191895 0
<unk> 6 6 5 4.317685604095459 11.677788734436035 0
most 6 7 4 12.5592041015625 8.715259552001953 2.962529182434082
liked 6 8 5 15.399574279785156 9.80910587310791 0
to 6 9 2 4.855906009674072 9.647405624389648 0.16170024871826172
go 6 10 2 8.92269229888916 9.649272918701172 0
to 6 11 2 4.505368709564209 9.242375373840332 0.40689754486083984
the 6 12 3 2.61033034324646 9.671699523925781 0
well 6 13 4 11.607246398925781 11.787271499633789 0
that 6 14 4 6.914505958557129 9.899818420410156 1.8874530792236328
was 6 15 3 5.61544942855835 9.612569808959961 0.2872486114501953
in 6 16 2 6.1161789894104 10.173678398132324 0
the 6 17 3 2.498490333557129 9.747292518615723 0.42638587951660156
wood 6 18 4 13.66564655303955 11.695178031921387 0
and 6 19 3 4.885843276977539 7.680361270904541 4.014816761016846
drink 6 20 5 14.944222450256348 11.210232734680176 0
its 6 21 3 10.972321510314941 7.891953468322754 3.318279266357422
fresh 6 22 5 14.729291915893555 12.134882926940918 0
water 6 23 5 11.641310691833496 10.347335815429688 1.7875471115112305
, 6 24 1 3.1719212532043457 7.415472507476807 2.931863307952881
so 6 25 2 8.933366775512695 8.945098876953125 0
that 6 26 4 5.85614013671875 9.959909439086914 0
the 6 27 3 2.7309811115264893 9.162075996398926 0.7978334426879883
people 6 28 6 10.444812774658203 11.715557098388672 0
of 6 29 2 2.9837937355041504 8.855130195617676 2.860426902770996
Bradford 6 30 8 12.788579940795898 8.889256477355957 0
had 6 31 3 7.87827205657959 8.68654727935791 0.20270919799804688
second 6 32 6 12.626947402954102 9.37434196472168 0
thoughts 6 33 8 16.17148780822754 9.568264961242676 0
about 6 34 5 9.36181640625 8.506227493286133 1.062037467956543
visiting 6 35 8 14.774316787719727 10.29687786102295 0
the 6 36 3 1.8765658140182495 8.813368797302246 1.4835090637207031
well 6 37 4 11.920615196228027 11.644108772277832 0
. 6 38 1 3.3482556343078613 9.26877498626709 2.375333786010742
That 7 0 4 11.289783477783203 11.105671882629395 0
the 7 1 3 4.3899006843566895 10.626348495483398 0.4793233871459961
people 7 2 6 10.727148056030273 11.66020393371582 0
of 7 3 2 3.033268451690674 8.874414443969727 2.7857894897460938
Bradford 7 4 8 12.684778213500977 9.159274101257324 0
bore 7 5 4 15.849278450012207 8.767730712890625 0.3915433883666992
the 7 6 3 3.7691242694854736 9.623115539550781 0
brunt 7 7 5 15.186625480651855 11.707450866699219 0
of 7 8 2 2.694844961166382 8.13200569152832 3.5754451751708984
the 7 9 3 2.051455020904541 9.255133628845215 0
beast 7 10 5 14.682023048400879 11.664724349975586 0
's 7 11 2 5.588906288146973 8.376687049865723 3.2880373001098633
<unk> 7 12 5 4.961556434631348 12.072519302368164 0
was 7 13 3 6.369894981384277 8.041150093078613 4.031369209289551
unfair 7 14 6 17.62173080444336 10.166679382324219 0
in 7 15 2 4.224891185760498 7.7268476486206055 2.4398317337036133
the 7 16 3 1.9549058675765991 8.9418306350708 0
eyes 7 17 4 12.233787536621094 11.672490119934082 0
of 7 18 2 3.0036754608154297 7.928652763366699 3.743837356567383
the 7 19 3 1.8779923915863037 8.75733470916748 0
people 7 20 6 10.837789535522461 11.697481155395508 0
of 7 21 2 3.2029244899749756 6.995645999908447 4.7018351554870605
the 7 22 3 1.9003705978393555 8.833086967468262 0
region 7 23 6 9.584529876708984 11.651871681213379 0
. 7 24 1 1.9666768312454224 6.39554500579834 5.256326675415039
Eventually 8 0 10 13.716690063476562 11.105671882629395 0
, 8 1 1 3.1978087425231934 9.108366012573242 1.9973058700561523
the 8 2 3 3.26780104637146 9.514920234680176 0
issue 8 3 5 11.03987979888916 11.814250946044922 0
reached 8 4 7 10.807662010192871 9.120240211486816 2.6940107345581055
the 8 5 3 3.168715000152588 9.571932792663574 0
ears 8 6 4 15.068361282348633 11.704458236694336 0
of 8 7 2 2.9914798736572266 8.81790542602539 2.8865528106689453
the 8 8 3 1.8871592283248901 8.790389060974121 0.02751636505126953
kindly 8 9 6 20.338769912719727 11.675054550170898 0
Lord 8 10 4 16.147863388061523 8.543935775756836 3.1311187744140625
of 8 11 2 4.57059383392334 8.381003379821777 0.1629323959350586
the 8 12 3 1.8899537324905396 8.785845756530762 0
Manor 8 13 5 16.036283493041992 11.659139633178711 0
who 8 14 3 9.32783317565918 8.38385009765625 3.275289535522461
the 8 15 3 7.602780818939209 8.048949241638184 0.3349008560180664
people 8 16 6 10.07253360748291 12.040623664855957 0
had 8 17 3 7.968763828277588 8.289857864379883 3.750765800476074
often 8 18 5 9.060362815856934 9.350569725036621 0
asked 8 19 5 10.629217147827148 9.644721984863281 0
for 8 20 3 6.208861827850342 8.831838607788086 0.8128833770751953
help 8 21 4 13.299371719360352 9.044026374816895 0
. 8 22 1 4.2057342529296875 9.828961372375488 0
The 9 0 3 5.230095386505127 11.105671882629395 0
Lord 9 1 4 11.215859413146973 11.676591873168945 0
saw 9 2 3 12.165587425231934 10.459516525268555 1.2170753479003906
the 9 3 3 4.690332889556885 9.840282440185547 0.6192340850830078
severity 9 4 8 16.8084774017334 11.493370056152344 0
of 9 5 2 2.9780468940734863 8.607003211975098 2.886366844177246
the 9 6 3 1.982837200164795 9.068613052368164 0
problem 9 7 7 12.205146789550781 11.66401481628418 0
the 9 8 3 8.699113845825195 8.55802059173584 3.10599422454834
people 9 9 6 10.902763366699219 11.317733764648438 0
faced 9 10 5 13.412595748901367 8.52005672454834 2.7976770401000977
and 9 11 3 5.605680465698242 9.571924209594727 0
suggested 9 12 9 13.340275764465332 10.901244163513184 0
a 9 13 1 4.590094089508057 8.732101440429688 2.169142723083496
contest 9 14 7 12.510348320007324 11.668375968933105 0
could 9 15 5 10.460616111755371 9.52729606628418 2.141079902648926
solve 9 16 5 14.728164672851562 8.34163761138916 1.1856584548950195
the 9 17 3 3.6094892024993896 9.755878448486328 0
problem 9 18 7 11.875996589660645 11.658693313598633 0
. 9 19 1 3.2830541133880615 7.950206279754639 3.708487033843994
He 10 0 2 7.521773815155029 11.105671882629395 0
said 10 1 4 6.6878437995910645 8.60185432434082 2.503817558288574
that 10 2 4 5.515989780426025 8.959755897521973 0
whoever 10 3 7 18.93781852722168 8.977673530578613 0
could 10 4 5 10.76061725616455 10.12130355834961 0
kill 10 5 4 11.302347183227539 8.328110694885254 1.7931928634643555
the 10 6 3 3.408353567123413 9.520254135131836 0
<unk> 10 7 5 5.037126541137695 11.756095886230469 0
and 10 8 3 4.973532676696777 8.777266502380371 2.9788293838500977
bring 10 9 5 12.86469841003418 11.152491569519043 0
as 10 10 2 6.808245658874512 9.588294982910156 1.5641965866088867
proof 10 11 5 13.222455024719238 8.109079360961914 1.4792156219482422
its 10 12 3 11.70619010925293 8.316829681396484 0
head 10 13 4 9.46521282196045 12.080744743347168 0
to 10 14 2 5.105034828186035 8.040782928466797 4.039961814880371
the 10 15 3 2.697218656539917 9.694903373718262 0
Manor 10 16 5 15.936689376831055 11.801647186279297 0
House 10 17 5 11.872239112854004 7.8448805809021 3.9567666053771973
would 10 18 5 9.289512634277344 7.816216468811035 0.028664112091064453
be 10 19 2 2.307147741317749 8.07856559753418 0
rewarded 10 20 8 13.417037010192871 9.904366493225098 0
with 10 21 4 5.151037693023682 5.402281284332275 4.502085208892822
land 10 22 4 11.239960670471191 8.799753189086914 0
and 10 23 3 4.828627586364746 9.635880470275879 0
fame 10 24 4 14.946517944335938 10.923503875732422 0
. 10 25 1 5.066360950469971 10.081464767456055 0.8420391082763672
It 11 0 2 7.874598503112793 11.105671882629395 0
was 11 1 3 2.0238354206085205 7.172704219818115 3.9329676628112793
the 11 2 3 4.004820823669434 10.035429954528809 0
people 11 3 6 10.633049011230469 11.537315368652344 0
of 11 4 2 2.9654173851013184 8.548632621765137 2.988682746887207
Bradford 11 5 8 12.707555770874023 9.197196006774902 0
and 11 6 3 4.638490200042725 8.741334915161133 0.45586109161376953
the 11 7 3 3.534813404083252 11.210199356079102 0
people 11 8 6 10.671209335327148 11.784996032714844 0
who 11 9 3 9.213903427124023 8.46594524383545 3.3190507888793945
knew 11 10 4 10.2377347946167 8.299562454223633 0.1663827896118164
them 11 11 4 9.165451049804688 9.66890811920166 0
who 11 12 3 9.933640480041504 9.305585861206055 0.36332225799560547
<unk> 11 13 5 6.515604019165039 8.434542655944824 0.8710432052612305
at 11 14 2 6.848566055297852 8.861087799072266 0
this 11 15 4 7.2368035316467285 8.8526611328125 0.008426666259765625
proclamation 11 16 12 17.759429931640625 11.3690767288208 0
but 11 17 3 9.431697845458984 7.434703350067139 3.934373378753662
one 11 18 3 9.292679786682129 9.691971778869629 0
question 11 19 8 15.362506866455078 10.078564643859863 0
remained 11 20 8 12.362920761108398 7.866138458251953 2.21242618560791
: 11 21 1 8.910954475402832 9.334094047546387 0
who 11 22 3 10.270368576049805 11.697486877441406 0
would 11 23 5 5.873204231262207 7.829133987426758 3.8683528900146484
kill 11 24 4 11.50339126586914 7.738779067993164 0.09035491943359375
the 11 25 3 3.4279611110687256 9.860650062561035 0
<unk> 11 26 5 5.006927967071533 11.697145462036133 0
? 11 27 1 12.220650672912598 8.662408828735352 3.0347366333007812
By 12 0 2 10.16819953918457 11.105671882629395 0
the 12 1 3 2.059877395629883 9.23985767364502 1.865814208984375
handsome 12 2 8 16.53630256652832 11.659204483032227 0
reward 12 3 6 18.230043411254883 8.380613327026367 3.2785911560058594
many 12 4 4 10.717016220092773 9.555196762084961 0
felt 12 5 4 12.423932075500488 10.2554931640625 0
<unk> 12 6 5 5.975687026977539 9.499293327331543 0.756199836730957
, 12 7 1 2.471672296524048 8.058414459228516 1.4408788681030273
but 12 8 3 5.617029190063477 9.313511848449707 0
the 12 9 3 4.064460754394531 9.665924072265625 0
thought 12 10 7 15.088829040527344 11.853631973266602 0
of 12 11 2 3.5151402950286865 10.376200675964355 1.477431297302246
