,Filename,Segmentlabel,TargetMax,TargetMin,TargetPitch,TargetDifference,Intensity,Duration,Onset,
71,1,WITH/1.70,158.3159794,128.5854326,143.7587581,29.73054673,64.17338154,0.12,20.68,NA
72,1,THEMSELVES/1.71,130.5902807,112.3729111,120.573344,18.21736955,67.94380087,0.58,20.8,NA
73,1,FOR/1.72,155.6557227,124.2448067,138.3252905,31.410916,63.49133406,0.11,21.38,NA
74,1,BEING/1.73,138.5704521,115.1073544,132.5686471,23.4630977,67.95299212,0.27,21.49,NA
75,1,SO/1.74,150.9905339,127.4280378,135.9283936,23.56249608,67.51917052,0.22,21.76,NA
76,1,SUCCESSFUL/1.75,149.2531806,109.4260403,132.1864507,39.82714027,66.32748504,0.74,21.98,NA
77,1,AND/1.76,125.0495529,115.4671462,119.5436196,9.582406682,63.27972307,0.09,22.72,NA
78,1,WELL/1.77,134.0495497,118.0505382,127.9287802,15.99901151,70.20081886,0.18,22.81,NA
79,1,OFF/1.78,138.6364951,106.9108293,122.6665316,31.72566575,69.38489103,0.412804942,22.99,NA
80,1,WAS/1.79,150.8703787,139.5062616,144.5429144,11.36411715,71.03483914,0.167341385,23.80265862,NA
81,1,KNOWN/1.80,176.0341011,142.5174652,162.9911199,33.51663591,71.83577519,0.32,23.97,NA
82,1,TO/1.81,162.3889228,149.224155,155.9735726,13.16476786,65.78825808,0.09,24.29,NA
83,1,THE/1.82,153.3579759,132.5887287,143.8532032,20.7692472,66.27829196,0.12,24.38,NA
84,1,RESIDENTS/1.83,150.3622338,129.5178712,139.0165286,20.84436257,70.38186664,0.48,24.5,NA
85,1,OF/1.84,125.8192956,112.9352372,117.9849897,12.88405839,59.09670428,0.11,24.98,NA
86,1,BRADFORD/1.85.word,144.5347027,91.78108919,125.2411605,52.75361348,69.00780617,0.496493368,25.16612223,NA
87,1,AND/1.86,142.8050052,130.1870683,136.6121631,12.61793691,66.6330589,0.092920528,25.99540783,NA
88,1,IF/1.87,148.9723469,138.7715008,146.274276,10.20084614,68.44079232,0.161671643,26.08832836,NA
89,1,YOU/1.88,173.8319469,150.3482405,156.3787982,23.48370642,67.4160035,0.09,26.25,NA
90,1,WERE/1.89,151.7948348,146.9978725,149.9646165,4.796962371,73.1521353,0.11,26.34,NA
91,1,TO/1.90,156.6352714,147.6224762,150.9377366,9.012795235,65.8068331,0.1,26.45,NA
92,1,GO/1.91,183.9050218,138.5112837,157.4018951,45.39373807,74.26214353,0.229999,26.55,NA
93,1,INTO/1.92,194.0070881,173.9716362,189.4840493,20.03545196,70.09792433,0.170001,26.779999,NA
94,1,THE/1.93,176.2774941,148.4709341,161.6471708,27.80655996,67.05483601,0.13,26.95,NA
95,1,CITY/1.94,195.0709904,139.9335583,159.5292632,55.13743209,68.55588559,0.32,27.08,NA
96,1,TO/1.95,149.8609076,123.6777844,139.9943603,26.18312327,63.38910863,0.15,27.4,NA
97,1,VISIT/1.96,158.2436724,125.3873829,147.4646885,32.85628945,69.63848784,0.25,27.55,NA
98,1,THE/1.97,156.8791738,128.7735773,144.170339,28.10559649,66.62152011,0.11,27.8,NA
99,1,STATELY/1.98,155.9849247,127.6576447,146.3766455,28.32728006,67.1732548,0.41,27.91,NA
100,1,CITY/1.99,160.6481902,128.3361677,138.7961866,32.31202253,66.64572243,0.29,28.32,NA
101,1,HALL/1.100.word,149.2891519,112.0393346,132.4677948,37.24981726,68.19335894,0.473323995,28.61,NA
102,1,YOU/1.101,173.1178434,152.3374914,156.9003727,20.78035208,73.76372009,0.086784267,29.45044309,NA
103,1,WOULD/1.102,153.7285539,148.8657544,151.6749174,4.862799567,73.35560735,0.15277164,29.53722736,NA
104,1,SEE/1.103,191.8151962,150.5728593,178.1409617,41.24233686,65.09451743,0.260001,29.689999,NA
105,1,THERE/1.104,178.1551886,125.4907155,150.2901618,52.66447304,71.87101846,0.37,29.95,NA
106,1,THE/1.105,137.533417,122.0722495,129.0532632,15.46116742,66.78014681,0.1,30.32,NA
107,1,CREST/1.106,163.9894874,121.0865774,149.6404186,42.90291001,71.2817014,0.4,30.42,NA
108,1,OF/1.107,160.0134146,129.2858782,145.8427584,30.72753639,66.3071469,0.1,30.82,NA
109,1,THE/1.108,148.6964041,134.1171418,141.3047178,14.5792623,67.76027341,0.09,30.92,NA
110,1,CITY/1.109,160.2731331,133.3679134,145.7997934,26.90521968,69.29076483,0.329408019,31.01,NA
111,1,OF/1.110,134.9778441,125.8284446,132.1263805,9.149399518,70.08123084,0.080591981,31.33940802,NA
112,1,BRADFORD/1.111.word,471.4622755,129.4677795,206.1620563,341.9944961,71.01974516,0.522350868,31.51330952,NA
113,1,WHICH/1.112,164.1022758,148.588325,152.260347,15.51395082,70.01018165,0.157611962,32.38009565,NA
114,1,THOSE/1.113,169.1862116,132.1118226,147.6565156,37.07438897,72.02615918,0.182292393,32.53770761,NA
115,1,SAME/1.114,171.3017851,142.3119942,163.8388013,28.98979087,69.73734537,0.44,32.72,NA
116,1,MILL/1.115,169.7315021,155.0035525,165.1754729,14.72794957,73.01727814,0.2,33.16,NA
117,1,OWNERS/1.116,155.0035525,116.9113093,125.3177887,38.09224318,68.2202814,0.42,33.36,NA
118,1,CREATED/1.117,157.0391822,125.4430485,143.3411509,31.59613367,70.26477468,0.45,33.78,NA
119,1,TO/1.118,131.7723227,116.0042787,124.2447688,15.76804397,62.06064407,0.14,34.23,NA
120,1,CELEBRATE/1.119,163.4500357,115.7122898,132.3894001,47.73774591,69.07791908,0.55,34.37,NA
121,1,THEIR/1.120,130.5124679,108.2291154,115.357796,22.28335247,65.61783046,0.127031551,34.96296845,NA
122,1,ACHIEVEMENTS/1.121.word,134.0281165,91.16115382,120.056362,42.8669627,62.49286888,0.739172152,35.09,NA
123,1,IT/1.122,163.5306669,154.5891732,157.3801179,8.94149368,69.35306124,0.091714693,36.36828531,NA
124,1,SHOWS/1.123,184.329886,149.5944157,162.4792944,34.73547032,71.56103698,0.349998,36.46,NA
125,1,A/1.124,167.4201939,150.8667688,160.1507914,16.55342507,68.75713207,0.060002,36.809998,NA
126,1,SINISTER/1.125,219.2247102,148.6281371,197.9687109,70.59657314,68.45528217,0.46,36.87,NA
127,1,LOOKING/1.126,187.0854413,137.6979684,165.0798634,49.38747283,68.79302214,0.35,37.33,NA
128,1,BOAR'S/1.127,176.7323627,130.3761384,160.2272712,46.35622433,72.95948225,0.379998,37.68,NA
129,1,HEAD/1.128,140.2286015,115.0147942,120.5550419,25.21380729,67.1130563,0.260002,38.059998,NA
130,1,SITTING/1.129,160.6144958,138.9263906,143.7921077,21.68810522,67.75952839,0.25,38.32,NA
131,1,ON/1.130,142.6440155,134.4080082,140.7440159,8.236007317,68.48862433,0.120002,38.57,NA
132,1,TOP/1.131,158.9527645,135.68082,152.3139927,23.27194452,70.10712281,0.239998,38.690002,NA
133,1,OF/1.132,163.2305512,135.3207077,150.3383503,27.90984351,67.90132856,0.16,38.93,NA
134,1,A/1.133,151.9237565,135.7663961,143.3674513,16.15736037,65.44949949,0.039997,39.09,NA
135,1,WELL/1.134,157.8583152,95.50386813,131.7567048,62.35444703,72.07791063,0.440003,39.129997,NA
136,1,WHICH/1.135,133.6556898,116.4463958,128.7422461,17.209294,64.3276251,0.16,39.57,NA
137,1,SEEMS/1.136,164.0435471,145.8714374,152.758313,18.17210969,65.77796783,0.29,39.73,NA
138,1,PUZZLING/1.137,207.2525209,121.9281285,171.4775925,85.32439241,66.81562405,0.420002,40.02,NA
139,1,AT/1.138,--undefined--,--undefined--,--undefined--,--undefined--,58.68915124,0.079998,40.440002,NA
140,1,FIRST/1.139.word,251.182149,239.8824103,244.8737427,11.29973876,62.28292674,0.417653234,40.52,NA
141,1,BUT/1.140,161.8592991,154.912201,158.6242811,6.947098018,70.72052108,0.088120048,41.36187695,NA
142,1,THE/1.141,170.9449147,152.853453,159.4945858,18.09146169,70.56250215,0.110001,41.449997,NA
143,1,REASON/1.142,231.8903316,152.4955532,195.2428928,79.39477833,68.87583278,0.300002,41.559998,NA
144,1,FOR/1.143,203.8374087,153.0624752,182.850156,50.7749335,67.14429094,0.11,41.86,NA
145,1,THIS/1.144,155.1078072,139.8580189,148.2707922,15.24978832,67.37096431,0.25,41.97,NA
146,1,SYMBOL/1.145,164.8059955,119.0822237,132.1423364,45.72377181,69.29738529,0.31,42.22,NA
147,1,IS/1.146,138.0033979,123.0072316,126.8124262,14.9961663,70.35918319,0.11,42.53,NA
148,1,A/1.147,149.617918,132.896459,140.5397871,16.72145904,68.58622376,0.050002,42.64,NA
149,1,MATTER/1.148,141.9601295,129.7667743,135.3649906,12.19335511,69.61588337,0.359998,42.690002,NA
150,1,OF/1.149,131.866714,122.0274497,128.6642945,9.839264355,67.24748298,0.13,43.05,NA
151,1,LEGEND/1.150.word,156.400333,126.5808287,143.4511768,29.81950425,68.36656914,0.479648448,43.18,NA
152,1,THERE/1.151,159.3997791,154.5716842,157.9419799,4.82809492,75.20823369,0.081454792,44.21854521,NA
153,1,WAS/1.152,163.4350554,150.4600357,156.3886213,12.9750197,71.13152086,0.18,44.3,NA
154,1,ONCE/1.153.word,202.9296713,132.2058145,168.9831099,70.72385681,70.57060256,0.432552122,44.48,NA
155,1,LEGEND/1.154,139.0003301,124.5212276,132.694452,14.47910243,69.08336737,0.251012067,45.01898793,NA
156,1,HAS/1.155,128.5936854,115.2686659,120.9787008,13.32501948,63.98631713,0.27,45.27,NA
157,1,IT/1.156.word,141.2182336,130.2649429,134.4775306,10.95329072,66.32830122,0.14,45.54,NA
158,1,A/1.157,121.044079,118.8369413,120.0475016,2.207137701,62.50533234,0.1,45.68,NA
